Brand,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Power Reserve,Price (USD)
Rolex,Stainless Steel,Stainless Steel,Automatic,300 meters,40,13,20,Black,Sapphire,48 hours,"9,500"
Omega,Titanium,Rubber,Automatic,600 meters,43.5,14.47,21,Blue,Sapphire,60 hours,"5,800"
Tag Heuer,Stainless Steel,Leather,Automatic,100 meters,41,13,20,White,Sapphire,42 hours,"4,200"
Breitling,Stainless Steel,Stainless Steel,Automatic,30 meters,43,14.25,22,Black,Sapphire,70 hours,"7,900"
Cartier,Stainless Steel,Leather,Quartz,30 meters,31,6.05,20,Silver,Sapphire,N/A,"2,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Manual,30 meters,42.9,9.2,20,Black,Sapphire,45 hours,"5,500"
Seiko,Stainless Steel,Rubber,Automatic,200 meters,44.3,12.9,20,Black,Sapphire,50 hours,"1,400"
Citizen,Stainless Steel,Stainless Steel,Eco-Drive,200 meters,42,13,22,Black,Mineral,270 days,"1,200"
Tissot,Stainless Steel,Leather,Automatic,30 meters,39.3,9.75,19,White,Sapphire,38 hours,650
Hamilton,Stainless Steel,Leather,Automatic,100 meters,38,9.8,20,Black,Sapphire,80 hours,495
Longines,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20,Silver,Sapphire,64 hours,"1,150"
Oris,Stainless Steel,Textile,Automatic,100 meters,41,12,20,Black,Sapphire,38 hours,"1,800"
Bell & Ross,Stainless Steel,Rubber,Automatic,100 meters,42,11.5,24,Black,Sapphire,42 hours,"4,500"
Breguet,18k White Gold,Leather,Manual,30 meters,38,8.65,20,Silver,Sapphire,40 hours,"16,000"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,9.8,20,Silver,Sapphire,60 hours,"22,000"
Vacheron Constantin,Stainless Steel,Rubber,Automatic,150 meters,41,11,22,Blue,Sapphire,40 hours,"19,000"
Omega,Stainless Steel,Stainless Steel,Automatic,50 meters,42,14.5,20,Black,Sapphire,60 hours,"4,500"
Breitling,Stainless Steel,Rubber,Automatic,500 meters,42,13.3,20,Blue,Sapphire,38 hours,"3,200"
Panerai,Stainless Steel,Leather,Manual,100 meters,44,10.5,22,Black,Sapphire,56 hours,"3,900"
Tudor,Stainless Steel,Leather,Automatic,200 meters,41,11.9,22,Black,Sapphire,70 hours,"3,500"
Rolex,Stainless Steel,Stainless Steel,Automatic,100 meters,40,12.5,20,Black,Sapphire,48 hours,"14,000"
IWC,Stainless Steel,Leather,Automatic,60 meters,41,12.5,20,Black,Sapphire,42 hours,"4,800"
Jaeger-LeCoultre,Stainless Steel,Leather,Automatic,50 meters,39,7.58,20,Silver,Sapphire,70 hours,"7,500"
Bell & Ross,Ceramic,Rubber,Automatic,100 meters,42,9.3,22,Black,Sapphire,"4,200",
Montblanc,Stainless Steel,Leather,Automatic,100 meters,42,11.2,22,Black,Sapphire,42 hours,"6,200"
Cartier,Stainless Steel,Leather,Quartz,30 meters,38,7.5,18,Silver,Sapphire,N/A,"3,500"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,60 hours,"21,000"
Rolex,Stainless Steel,Jubilee,Automatic,100 meters,36,12,20,Silver,Sapphire,70 hours,"9,000"
Omega,Stainless Steel,Stainless Steel,Manual,50 meters,42,14.3,20,Black,Hesalite,48 hours,"5,250"
IWC,Stainless Steel,Alligator,Automatic,30 meters,40.4,12.3,20,Silver,Sapphire,60 hours,"8,800"
Audemars Piguet,Stainless Steel,Stainless Steel,Automatic,50 meters,41,10.4,20,Black,Sapphire,60 hours,"17,800"
Blancpain,Stainless Steel,Canvas,Automatic,300 meters,45,15.4,23,Black,Sapphire,120 hours,"11,500"
Zenith,Stainless Steel,Alligator,Automatic,100 meters,42,12.75,20,Silver,Sapphire,50 hours,"6,500"
Breguet,18K Rose Gold,Leather,Automatic,30 meters,39,8.65,20,Silver,Sapphire,45 hours,"23,500"
Piaget,Stainless Steel,Stainless Steel,Automatic,100 meters,42,9.4,24,Blue,Sapphire,50 hours,"10,000"
